difficulty,question,answer
normal,Who wrote the play "Romeo and Juliet"?,William Shakespeare
normal,What is the smallest country in the world?,Vatican City
normal,In what year did the Titanic sink?,1912
normal,What is the chemical symbol for gold?,Au
normal,Who painted the Mona Lisa?,Leonardo da Vinci
normal,What is the largest desert in the world?,Sahara Desert
normal,How many bones are in the adult human body?,206
normal,What is the capital city of Japan ?,Tokyo
normal,Who was the first person to walk on the moon?,Neil Armstrong
normal,What is the hardest natural substance on Earth?,Diamond
