difficulty,question,answer
normal,What is the chemical symbol for water?,H2O
normal,What is the powerhouse of the cell?,Mitochondria
normal,What is the force that pulls objects toward the Earth?,Gravity
normal,What is the main gas found in the Earth's atmosphere?,Nitrogen
normal,What is the process by which a liquid turns into a gas?,Evaporation
normal,What is the smallest unit of an element?,Atom
normal,What is the name of the theory that explains the origin of the universe?,Big Bang
normal,What is the term for animals that are active during the night?,Nocturnal
normal,What is the study of heredity and the variation of inherited characteristics?,Genetics
normal,What is the name of the scientist who proposed the laws of motion and universal gravitation?,Newton
