difficulty,question,answer
easy,What is the largest planet in our solar system?,Jupiter
easy,What is the process by which plants make their own food?,Photosynthesis
easy,What is the scientific term for the "building blocks of life"?,Cells
easy,Who is the scientist who discovered gravity?,Newton
easy,What is the largest living thing on Earth?,Ocean
easy,What is the process by which water moves through a plant?,Transpiration
easy,What is the scientific term for the study of the structure of the Earth?,Geology
easy,What is the largest mammal on Earth?,Whale
easy,What is the scientific term for the "study of the universe"?,Astronomy
easy,Who is the scientist who developed the theory of evolution?,Darwin
