difficulty,question,answer
easy,Who is known as the national hero of the Philippines?,Rizal
easy,What is the capital city of the Philippines?,Manila
easy,What year did the Philippines gain independence from Spain?,1898
easy,Who was the first President of the Philippines?,Aguinaldo
easy,What is the name of the famous Philippine festival held in January?,Sinulog
easy,Which country colonized the Philippines for over 300 years?,Spain
easy,What is the name of the Philippine national anthem?,Lupang
easy,Who led the Philippine Revolution against Spanish rule?,Bonifacio
easy,What is the primary language spoken in the Philippines?,Filipino
easy,What is the name of the largest island in the Philippines?,Luzon
