difficulty,question,answer
easy,What is the capital of France?,Paris
easy,What color is the sky on a clear day?,Blue
easy,How many legs does a spider have?,8
easy,What is the largest mammal in the world?,Blue whale
easy,In which continent is Egypt located?,Africa
easy,What is the name of the fairy in Peter Pan?,Tinker Bell
easy,What fruit is known for having its seeds on the outside?,Strawberry
easy,Which planet is known as the Red Planet?,Mars
easy,What is the main ingredient in guacamole?,Avocado
easy,How many continents are there on Earth?,7
