difficulty,question,answer
expert,What was the first civilization to develop writing?,Sumer
expert,Who was the first President of the United States?,Washington
expert,What ancient wonder was located in the city of Babylon?,Gardens
expert,Which war was fought between the North and South regions in the United States?,Civil
expert,What was the primary cause of World War I?,Assassination
expert,Who was the famous queen of ancient Egypt known for her beauty?,Cleopatra
expert,What was the name of the ship that sank in 1912 after hitting an iceberg?,Titanic
expert,Which empire was known for its road system and the phrase "All roads lead to Rome"?,Roman
expert,What was the name of the treaty that ended World War I?,Versailles
expert,Who was the leader of the Soviet Union during World War II?,Stalin
