difficulty,question,answer
normal,What was the capital of the Roman Empire?,Rome
normal,Who was the first man to walk on the moon?,Armstrong
normal,What was the name of the ship that brought the Pilgrims to America?,Mayflower
normal,Which ancient civilization built the pyramids?,Egyptians
normal,What was the name of the first successful English colony in America?,Jamestown
normal,Who was the famous civil rights leader known for his "I Have a Dream" speech?,King
normal,What was the name of the war fought between the British and the American colonies?,Revolution
normal,Which document declared the independence of the American colonies?,Declaration
normal,What was the name of the first female pharaoh of Egypt?,Hatshepsut
normal,Who was the leader of the Nazi Party during World War II?,Hitler
