difficulty,question,answer
expert,What is the only country that is also a continent?,Australia
expert,Who developed the theory of general relativity?,Albert Einstein
expert,What is the longest river in the world?,Nile River
expert,In which year did World War II end?,1945
expert,What is the capital of Iceland?,Reykjavik
expert,Who discovered penicillin?,Alexander Fleming
expert,What is the most spoken language in the world?,Mandarin Chinese
expert,What is the name of the largest ocean on Earth?,Pacific Ocean
expert,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
expert,What is the primary ingredient in traditional Japanese miso soup?,Miso paste
